animal,antibody,image,profile_idx,n_particles,density,dist_to_symmetric_nm,dist_to_asymmetric_nm,projection_to_symmetric,ratio_toward_symmetric,mean_dist_to_sym_membrane,projection_to_asymmetric,ratio_toward_asymmetric,mean_dist_to_asym_membrane
E1 iba glut GA1 hippo,GLUT,Tv36.tif.1,0,8,55.56250086816408,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv15.tif.1,0,6,49.33520807124004,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv35.tif.2,0,12,39.408090480975744,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv32.tif.2,0,5,35.32158537403793,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv23.tif.4,0,6,39.231840561799956,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv37.tif.1,0,6,38.095238095238095,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv27.tif.2,0,12,28.286342646611647,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv22.tif.1,0,5,74.25724193751996,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv16.tif.2,0,18,18.93186422066981,9391.485505499117,,-143.51549906486136,0.3333333333333333,1088469.8847304452,,,
E1 iba glut GA1 hippo,GLUT,Tv4.tif.1,0,10,54.858848183623536,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv3.tif.1,0,29,38.70142054231367,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv33.tif.3,0,7,42.5189437079556,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv8.tif.1,0,6,34.468198778102355,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv18.tif.3,0,14,48.27544590132843,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv38.tif.1,0,10,34.02211096991935,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv35.tif.1,0,27,36.5742151782993,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv20.tif.1,0,3,39.3522617712453,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv11.tif.1,0,6,35.705996822166284,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv13.tif.2,0,8,71.33081000592938,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv34.tif.1,0,7,80.00182861322544,,,,,,,,
E1 iba glut GA1 hippo,GLUT,Tv10.tif.1,0,52,43.09989353497453,,,,,,,,
F2 iba glut LPS2 hippo,GLUT,Tv40.tif.1,0,3,37.421648423613064,379591.8861092792,,169.51165960230668,0.6666666666666666,243098.17659713712,,,
F2 iba glut LPS2 hippo,GLUT,Tv41.tif.1,0,4,36.35686076685709,,,,,,,,
F2 iba glut LPS2 hippo,GLUT,Tv62.tif.1,0,10,31.753743369421464,,75760.29726386661,,,,-111.46206416263449,0.4,874217.6781841015
F2 iba glut LPS2 hippo,GLUT,Tv50.tif.1,0,3,34.30414050975953,,,,,,,,
F2 iba glut LPS2 hippo,GLUT,Tv64.tif.1,0,7,61.61348102964928,,,,,,,,
F2 iba glut LPS2 hippo,GLUT,Tv65.tif.1,0,15,52.889904375052886,0.0,0.0,46.58688056857659,0.6,444004.94989224593,49.06186750747731,0.6,718331.4605058191
F2 iba glut LPS2 hippo,GLUT,Tv60.tif.1,0,10,59.66498113094971,,,,,,,,
F2 iba glut LPS2 hippo,GLUT,Tv54.tif.1,0,18,38.66116389433904,,,,,,,,
F2 iba glut LPS2 hippo,GLUT,Tv48.tif.1,0,9,51.17227145184263,475290.33232330746,,84.63338633318382,0.6666666666666666,327560.3239534894,,,
F2 iba glut LPS2 hippo,GLUT,Tv42.tif.1,0,13,30.246028173011936,,,,,,,,
F2 iba glut LPS2 hippo,GLUT,Tv34.tif.1,0,20,38.62416849407264,,2333.2270663020886,,,,-84.86731109871015,0.5,551523.9529959912
F2 iba glut LPS2 hippo,GLUT,Tv39.tif.1,0,6,41.69663612388071,138423.26394071194,112008.92821556682,-28.542434518869687,0.3333333333333333,410382.0134957103,-80.96493646421288,0.0,424045.9781953862
F2 iba glut LPS2 hippo,GLUT,Tv38.tif.1,0,5,27.48574177145606,,,,,,,,
F2 iba glut LPS2 hippo,GLUT,Tv45.tif.1,0,10,44.22596816172552,51774.65967648058,19760.89015665523,54.148137492194095,0.7,321495.836932774,-34.849151957706326,0.3,315650.44773182354
F2 iba glut LPS2 hippo,GLUT,Tv33.tif.1,0,22,45.073423582620094,368353.09147609986,385893.76776517136,-1.5685458524668108,0.45454545454545453,628742.7713519884,-2.7829552788896024,0.4090909090909091,628742.7713519884
F2 iba glut LPS2 hippo,GLUT,Tv32.tif.1,0,5,23.117325048084037,,,,,,,,
F2 iba glut LPS2 hippo,GLUT,Tv58.tif.1,0,9,22.76530112802067,,,,,,,,
F2 iba glut LPS2 hippo,GLUT,Tv52.tif.1,0,13,46.63334176320666,310409.40707394807,219418.51687843705,17.568609803498486,0.38461538461538464,439944.99255187577,33.71475474327834,0.6153846153846154,344577.09691173176
J2 iba gaba GA2 hippo,GABA,Tv66.tif.2,0,4,28.047343916531105,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv56.tif.1,0,23,14.215712936546002,0.0,,-109.72402141532856,0.34782608695652173,859782.9833297022,,,
J2 iba gaba GA2 hippo,GABA,Tv20.tif.1,0,3,41.427594920976865,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv7.tif.1,0,43,28.144750414971437,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv6.tif.1,0,8,51.269233973557895,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv63.tif.1,0,3,9.961548423086885,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv62.tif.1,0,9,100.99083227666999,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv51.tif.1,0,8,21.622089126251378,23357.75525850285,98593.68310743119,-22.178289384605684,0.5,434430.45780166035,-41.993701444355516,0.375,654271.249163308
J2 iba gaba GA2 hippo,GABA,Tv47.tif.1,0,5,18.960545001905533,520778.2637553146,,-15.405903262617347,0.4,684846.0784551405,,,
J2 iba gaba GA2 hippo,GABA,Tv30.tif.1,0,11,13.720406797588451,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv25.tif.1,0,16,68.32905564974526,657607.7858419864,,-34.43270623745049,0.4375,589228.7459933335,,,
J2 iba gaba GA2 hippo,GABA,Tv4.tif.1,0,39,22.32206736685459,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv5.tif.1,0,36,20.71028809448954,,0.0,,,,-9.439724351021761,0.6111111111111112,865846.2317301309
J2 iba gaba GA2 hippo,GABA,Tv29.tif.1,0,5,51.65342617175797,335415.697264645,,20.237579446078534,0.6,156309.10898171534,,,
J2 iba gaba GA2 hippo,GABA,Tv61.tif.1,0,4,11.100026501313272,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv13.tif.2,0,6,11.778378038821534,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv39.tif.1,0,3,16.361791943453646,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv44.tif.1,0,9,34.84738780109111,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv6.tif.2,0,35,25.68043994262256,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv33.tif.1,0,5,62.84209666371309,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv32.tif.1,0,3,35.989994781450754,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv3.tif.1,0,37,23.358556365459133,869899.419473309,,50.455424643231275,0.5945945945945946,856106.7357258168,,,
J2 iba gaba GA2 hippo,GABA,Tv37.tif.2,0,6,31.78159686633455,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv9.tif.1,0,42,34.42306935756717,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv8.tif.1,0,65,34.83329988443383,,,,,,,,
J2 iba gaba GA2 hippo,GABA,Tv53.tif.1,0,5,9.622221944246922,113004.42469213318,,-1.2661837320330505,0.4,653937.4961758228,,,
E4 iba glut GA4 hippo,GLUT,Tv11.tif.2,0,8,55.32503457814661,,,,,,,,
E4 iba glut GA4 hippo,GLUT,Tv40.tif.1,0,19,28.508559695048437,,0.0,,,,-24.341887815719492,0.42105263157894735,501924.8234319732
E4 iba glut GA4 hippo,GLUT,Tv41.tif.1,0,4,18.476262621596906,,,,,,,,
E4 iba glut GA4 hippo,GLUT,Tv37.tif.1,0,17,15.262556370456359,,,,,,,,
E4 iba glut GA4 hippo,GLUT,Tv20.tif.1,0,31,28.131092706923468,649889.9906907323,,-0.7305982297299416,0.3548387096774194,765341.0239660927,,,
E4 iba glut GA4 hippo,GLUT,Tv21.tif.1,0,28,18.619094879250184,,,,,,,,
E4 iba glut GA4 hippo,GLUT,Tv7.tif.1,0,6,20.354265999725218,,,,,,,,
E4 iba glut GA4 hippo,GLUT,Tv6.tif.1,0,5,21.197533455007175,,,,,,,,
E4 iba glut GA4 hippo,GLUT,Tv27.tif.1,0,3,25.660325715067742,0.0,,-40.38038985661923,0.3333333333333333,274134.14468933275,,,
E4 iba glut GA4 hippo,GLUT,Tv1.tif.1,0,3,10.044732542254842,,,,,,,,
E4 iba glut GA4 hippo,GLUT,Tv31.tif.1,0,4,18.12575193549045,343117.64705882355,343909.84869218216,10.56777881981705,0.5,267785.23358635965,41.1635089304751,0.5,270202.1280112341
E4 iba glut GA4 hippo,GLUT,Tv17.tif.1,0,31,32.312871988909386,,,,,,,,
E4 iba glut GA4 hippo,GLUT,Tv4.tif.1,0,10,18.1310512383508,69337.52452815363,,80.15208674666655,0.6,649502.4346228018,,,
E4 iba glut GA4 hippo,GLUT,Tv28.tif.1,0,11,56.631555102503114,,,,,,,,
E4 iba glut GA4 hippo,GLUT,Tv22.tif.1,0,40,28.18216245255269,440192.003562082,,51.93059685709004,0.55,1032852.5423650953,,,
E4 iba glut GA4 hippo,GLUT,Tv32.tif.1,0,4,20.289788910108626,755292.655111874,1025353.1099089718,5.694388547482223,0.5,236952.60207597204,21.460467690598005,0.5,191436.28186552873
E4 iba glut GA4 hippo,GLUT,Tv11.tif.1,0,3,17.638654523432955,,,,,,,,
E4 iba glut GA4 hippo,GLUT,Tv3.tif.1,0,4,14.185176844826577,0.0,,-69.33602527730706,0.25,440103.1806700246,,,
E4 iba glut GA4 hippo,GLUT,Tv2.tif.1,0,5,18.411323700528776,,,,,,,,
E4 iba glut GA4 hippo,GLUT,Tv8.tif.1,0,4,15.370043401160054,,,,,,,,
E4 iba glut GA4 hippo,GLUT,Tv24.tif.1,0,39,32.17249738185991,,,,,,,,
E4 iba glut GA4 hippo,GLUT,Tv25.tif.1,0,40,30.18862228561833,,,,,,,,
F1 iba glut LPS1 hippo,GLUT,Tv21.tif.1,0,14,58.341355269682914,,0.0,,,,4.687627430872196,0.5714285714285714,212075.03187089044
F1 iba glut LPS1 hippo,GLUT,Tv14.tif.1,0,21,50.093029912695,635710.1227640709,600269.9392773221,-7.647654859974841,0.47619047619047616,672553.4306286691,-24.99740913065587,0.47619047619047616,844727.7847141823
F1 iba glut LPS1 hippo,GLUT,Tv7.tif.1,0,25,58.539303874014045,189656.08087867667,,-2.125810796672313,0.44,684279.4241164299,,,
F1 iba glut LPS1 hippo,GLUT,Tv19.tif.1,0,10,52.496331818814156,209442.1161084847,0.0,87.12588508766217,0.7,417334.0568711449,83.79743789915759,0.9,219896.89764615794
F1 iba glut LPS1 hippo,GLUT,Tv18.tif.1,0,18,37.16608594657375,0.0,383243.6059490304,11.52366935828614,0.6666666666666666,537317.6842215921,3.370112270400401,0.5,616076.8056006104
F1 iba glut LPS1 hippo,GLUT,Tv27.tif.1,0,10,27.358508632977397,,0.0,,,,-98.76326790104288,0.4,615782.3867874361
F1 iba glut LPS1 hippo,GLUT,Tv26.tif.1,0,9,47.68262445164982,,627356.7843309174,,,,24.991274936055813,0.5555555555555556,389946.26323159033
F1 iba glut LPS1 hippo,GLUT,Tv13.tif.1,0,8,55.16423426871188,,,,,,,,
F1 iba glut LPS1 hippo,GLUT,Tv30.tif.1,0,12,77.83161130893313,,0.0,,,,27.439972223220696,0.5,225542.61740351224
F1 iba glut LPS1 hippo,GLUT,Tv29.tif.2,0,4,77.3014078518905,,,,,,,,
F1 iba glut LPS1 hippo,GLUT,Tv16.tif.1,0,11,27.837882296372218,,397667.5143811619,,,,74.0403931798951,0.6363636363636364,682523.205715844
F1 iba glut LPS1 hippo,GLUT,Tv4.tif.1,0,48,51.36007909452181,,107279.88455825091,,,,-25.497059914598363,0.375,838814.7591134625
F1 iba glut LPS1 hippo,GLUT,Tv5.tif.1,0,21,45.46059702752639,,,,,,,,
F1 iba glut LPS1 hippo,GLUT,Tv29.tif.1,0,3,46.302727230633884,1191570.3923814152,,56.7819736100952,0.6666666666666666,157583.16835829616,,,
F1 iba glut LPS1 hippo,GLUT,Tv3.tif.1,0,41,48.515743654643636,,,,,,,,
F1 iba glut LPS1 hippo,GLUT,Tv2.tif.1,0,9,19.335067044344978,463720.8211844709,,-15.38114652329356,0.2222222222222222,497941.4101845298,,,
F1 iba glut LPS1 hippo,GLUT,Tv24.tif.1,0,7,93.67368104111605,698072.3458209758,3103.450195836899,-43.78656140022429,0.42857142857142855,326152.4746236108,-34.77351523595575,0.14285714285714285,279155.1952021301
F1 iba glut LPS1 hippo,GLUT,Tv25.tif.1,0,16,73.78048921075627,,217866.93186438366,,,,134.16768894287753,0.75,332686.93565096066
J4 iba gaba GA4 hippo,GABA,Tv75.tif.1,0,11,61.846222179741986,,168365.95880192652,,,,-72.40913628321678,0.5454545454545454,560256.324388996
J4 iba gaba GA4 hippo,GABA,Tv87.tif.1,0,18,23.8341934608242,6102.738247715237,,47.919475842470874,0.7222222222222222,442475.9656441765,,,
J4 iba gaba GA4 hippo,GABA,Tv81.tif.1,0,5,23.79349152832734,,,,,,,,
J4 iba gaba GA4 hippo,GABA,Tv104.tif.1,0,8,67.55130732889465,,,,,,,,
J4 iba gaba GA4 hippo,GABA,Tv79.tif.1,0,7,35.0538075946578,,477184.45071062405,,,,37.168340108287076,0.5714285714285714,410356.96797435713
J4 iba gaba GA4 hippo,GABA,Tv85.tif.1,0,3,25.467325421484237,600344.0680143345,646450.3074482988,28.612395814472364,0.6666666666666666,271798.69766661525,22.228157762395636,0.6666666666666666,215020.62157803276
J4 iba gaba GA4 hippo,GABA,Tv76.tif.1,0,4,22.296854749926837,183357.57415498275,,142.61486216334794,0.5,345909.5153072659,,,
J4 iba gaba GA4 hippo,GABA,Tv110.tif.1,0,8,39.1701797421623,85381.49682454625,,173.8514803770086,0.75,389597.0314384,,,
J4 iba gaba GA4 hippo,GABA,Tv95.tif.1,0,17,21.666221659466895,,0.0,,,,-6.151747859156789,0.47058823529411764,654415.0284227213
J4 iba gaba GA4 hippo,GABA,Tv83.tif.1,0,4,24.068257578492602,,0.0,,,,-3.527649074538324,0.75,298317.5847770334
E3 iba1 glut GA3 hippo,GLUT,Tv50.tif.1,0,18,71.94115213755148,,,,,,,,
E3 iba1 glut GA3 hippo,GLUT,Tv52.tif.2,0,25,59.64992651129054,,,,,,,,
E3 iba1 glut GA3 hippo,GLUT,Tv74.tif.1,0,5,21.30088782100438,,,,,,,,
E3 iba1 glut GA3 hippo,GLUT,Tv75.tif.1,0,3,66.70891564657616,,,,,,,,
E3 iba1 glut GA3 hippo,GLUT,Tv56.tif.1,0,4,28.22446920357604,,,,,,,,
E3 iba1 glut GA3 hippo,GLUT,Tv68.tif.1,0,8,22.71588251913458,,,,,,,,
E3 iba1 glut GA3 hippo,GLUT,Tv86.tif.1,0,26,42.47318063680366,,,,,,,,
E3 iba1 glut GA3 hippo,GLUT,Tv62.tif.1,0,26,23.709107488886357,,,,,,,,
E3 iba1 glut GA3 hippo,GLUT,Tv51.tif.1,0,5,10.396880104218326,,,,,,,,
E3 iba1 glut GA3 hippo,GLUT,Tv80.tif.1,0,5,26.04593982866981,,,,,,,,
